reader	antenna	det_type	date	time	date_time	time_zone	dur	tag_type	tag_code	consec_det	no_empt_scan_prior
dam	2	D	2015-12-03	39:53.3	2015-12-03 15:39	America/Vancouver	00:00.2	HR	0000_0000000183783293	2	314
dam	1	D	2015-12-03	40:35.3	2015-12-03 15:40	America/Vancouver	00:00.6	HR	0000_0000000183783293	4	7694
dam	1	D	2015-12-03	40:44.4	2015-12-03 15:40	America/Vancouver	00:00.6	HR	0000_0000000183783293	4	41
dam	1	D	2015-12-03	40:47.6	2015-12-03 15:40	America/Vancouver	00:00.4	HR	0000_0000000183783293	3	12
dam	1	D	2015-12-05	22:25.5	2015-12-05 02:22	America/Vancouver	00:01.6	HA	900_230000018152	9	.
dam	1	D	2015-12-05	26:25.0	2015-12-05 02:26	America/Vancouver	00:03.2	HA	900_230000018152	17	1180
dam	1	D	2015-12-05	27:46.8	2015-12-05 03:27	America/Vancouver	00:04.3	HA	900_230000018152	22	18265
dam	1	D	2015-12-05	28:28.1	2015-12-05 03:28	America/Vancouver	00:00.6	HA	900_230000018152	4	183
dam	1	D	2015-12-05	08:34.3	2015-12-05 06:08	America/Vancouver	00:01.4	HA	900_230000018152	8	47695
dam	1	D	2015-12-05	15:33.5	2015-12-05 06:15	America/Vancouver	00:00.2	HA	900_230000018152	2	2073
dam	1	D	2015-12-05	15:35.5	2015-12-05 06:15	America/Vancouver	00:00.2	HA	900_230000018152	2	8
dam	1	D	2015-12-05	15:36.5	2015-12-05 06:15	America/Vancouver	00:01.2	HA	900_230000018152	7	3
dam	1	D	2015-12-05	15:44.5	2015-12-05 06:15	America/Vancouver	00:00.0	HA	900_230000018152	1	33
dam	1	D	2015-12-05	49:17.5	2015-12-05 06:49	America/Vancouver	00:00.8	HA	900_230000018152	5	9994
dam	1	D	2015-12-05	59:55.4	2015-12-05 06:59	America/Vancouver	00:02.6	HA	900_230000018152	14	3162
dam	1	D	2015-12-05	00:12.1	2015-12-05 07:00	America/Vancouver	00:00.0	HA	900_230000018152	1	69
dam	1	D	2015-12-05	11:28.4	2015-12-05 07:11	America/Vancouver	00:00.0	HA	900_230000018152	1	3357
dam	1	D	2015-12-05	11:38.1	2015-12-05 07:11	America/Vancouver	00:00.8	HA	900_230000018152	5	47
dam	1	D	2015-12-05	11:40.3	2015-12-05 07:11	America/Vancouver	00:00.2	HA	900_230000018152	2	6
dam	1	D	2015-12-05	15:06.1	2015-12-05 07:15	America/Vancouver	00:00.2	HA	900_230000018152	2	1020
dam	1	D	2015-12-05	17:33.8	2015-12-05 07:17	America/Vancouver	00:00.2	HA	900_230000018152	2	731
dam	1	D	2015-12-05	18:45.7	2015-12-05 07:18	America/Vancouver	00:00.2	HA	900_230000018152	2	355
dam	1	D	2015-12-05	21:48.4	2015-12-05 07:21	America/Vancouver	00:01.6	HA	900_230000018152	9	905
dam	1	D	2015-12-05	23:53.3	2015-12-05 07:23	America/Vancouver	00:00.8	HA	900_230000018152	5	611
dam	1	D	2015-12-05	31:10.5	2015-12-05 07:31	America/Vancouver	00:01.0	HA	900_230000018152	6	2166
dam	1	D	2015-12-05	35:19.8	2015-12-05 07:35	America/Vancouver	00:01.0	HA	900_230000018152	6	1232
dam	1	D	2015-12-05	47:21.7	2015-12-05 07:47	America/Vancouver	00:00.4	HA	900_230000018152	3	3578
dam	1	D	2015-12-05	47:28.7	2015-12-05 07:47	America/Vancouver	00:02.2	HA	900_230000018152	12	32
dam	1	D	2015-12-05	00:07.4	2015-12-05 08:00	America/Vancouver	00:00.4	HA	900_230000018152	3	3755
dam	1	D	2015-12-05	00:55.0	2015-12-05 08:00	America/Vancouver	00:00.0	HA	900_230000018152	1	233
dam	1	D	2015-12-05	07:19.3	2015-12-05 08:07	America/Vancouver	00:00.6	HA	900_230000018152	4	1907
dam	1	D	2015-12-05	14:41.3	2015-12-05 08:14	America/Vancouver	00:00.0	HA	900_230000018152	1	2191
dam	1	D	2015-12-05	14:41.7	2015-12-05 08:14	America/Vancouver	00:00.4	HA	900_230000018152	3	1
dam	1	D	2015-12-05	15:51.2	2015-12-05 08:15	America/Vancouver	00:00.2	HA	900_230000018152	2	342
dam	1	D	2015-12-05	22:00.0	2015-12-05 08:22	America/Vancouver	00:00.0	HA	900_230000018152	1	1829
dam	1	D	2015-12-05	22:32.0	2015-12-05 08:22	America/Vancouver	00:00.4	HA	900_230000018152	3	158
dam	1	D	2015-12-05	24:04.9	2015-12-05 08:24	America/Vancouver	00:00.2	HA	900_230000018152	2	458
dam	1	D	2015-12-05	29:10.9	2015-12-05 08:29	America/Vancouver	00:00.4	HA	900_230000018152	3	1517
dam	1	D	2015-12-05	30:48.2	2015-12-05 08:30	America/Vancouver	00:00.0	HA	900_230000018152	1	480
